Key,Id,English(en),Japanese(ja)
"default",399685550080,"Test","テスト"
"opening",124598307618816,"Our protagonist awakes in the morning.","主人公は朝目覚めます。"
"narrator-name",374444868337664,"Narrator","ナレーター"
"default-long",2576787013730304,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.","ではよろしく頼む。最初のうちは慣れないだろうから、私が一緒に活動する。何かわからないことがあったら遠慮なく聞いてほしい。夏休み前、山積みになった仕事を済ませるために生徒会室に残っていると、ドアの開く音がした。ではよろしく頼む。最初のうちは慣れないだろうから、私が一緒に活動する。何かわからないことがあったら遠慮なく聞いてほしい。"
"example-character",6162437898076160,"Velorexe","ベロレックス"
"example-greet",6163067215642624,"Hello!","こんにちは！"
"example-welcome",6163178914152448,"Welcome to UVNF! I think it's really cool that you decided to give this a download.","UVNF へようこそ! これをダウンロードしていただけるなんて、本当に素晴らしいことだと思います。"
"example-dialogue-a",6163803987083264,"It took me quite some time to make this whole framework, so I would love some feedback on either the GitHub page or to me privately on Discord (Velorexe#8403).","このフレームワーク全体を作るのにかなり時間がかかりましたので、GitHub ページまたは Discord (Velorexe#8403) で個人的にフィードバックをいただければ幸いです。"
"example-character-other",6164091036860416,"Jocelyn","ジョセリン"
"example-dialogue-b",6164806236995584,"After some dicussion with the artist for this project (Jocelyn Hatch) I've decided to release it a bit earlier than I intended to.","このプロジェクトのアーティスト (Jocelyn Hatch) と話し合った結果、当初の予定より少し早めにリリースすることにしました。"
"example-dialogue-c",6164837933350912,"This was mostly a decision based on the lack of feedback I was able to get from my close surroundings and the motivation I got from seeing multiple GitHub users favouriting my project.","これは主に、身近な環境から得られるフィードバックが少なかったことと、複数の GitHub ユーザーが私のプロジェクトを「お気に入り」にしてくれたのを見て得たモチベーションに基づいた決断でした。"
"example-dialogue-d",6164885576450048,"So let me give you a little tour of what you can do with this framework (for now).","それでは、このフレームワークで何ができるかを（今のところ）少し説明しましょう。"
"example-dialogue-e",6164929356595200,"As you can hear I got some audio dialogue implemented. These can do beeps and boops (total ripoff from Animal Crossing, yikes) and normal audio.","聞いてわかるように、オーディオ ダイアログをいくつか実装しました。ビープ音やブープ音 (Animal Crossing からの完全なパクリです、ひゃー) と通常のオーディオを作成できます。"
"example-dialogue-f",6164970297196544,"Ofcourse you can also use the Dialogue options that don't have audio on them for some internal thinking of your character.","もちろん、キャラクターの内面的な考えを表現するために、音声のないダイアログ オプションを使用することもできます。"
"example-dialogue-g",6165012030521344,"Since Characters are very important to any visual novel, I spend way too much time implemented a stupid implementation that took way too much time where characters ""stack"" on either side of the screen.","キャラクターはあらゆるビジュアルノベルにとって非常に重要なので、画面の両側にキャラクターが「重なる」という、時間がかかりすぎる愚かな実装を実装するのに、あまりにも多くの時間を費やしました。"
"example-dialogue-h",6165088777895936,"You got quite some options when using this framework to customize little things, I hope to expand this further in the future.","このフレームワークを使用すると、細かいカスタマイズにかなりのオプションが使えるので、将来的にはこれをさらに拡張していきたいと思います。"
"example-dialogue-i",6165162908024832,"Even though it contains a lot of rings and bells, I didn't forget about the core features...","リングやベルがたくさん含まれていますが、コア機能も忘れていません..."
"example-dialogue-j",6165203030736896,"Like choices! Every choice has it's own outcome, which can be connected to any node of your choice.","選択肢のようなものです。すべての選択には独自の結果があり、それを任意のノードに接続できます。"
"example-choice-a",6165269153939456,"Vote this to yeet Velorexe off the earth.","これに投票して、Velorexe を地球から消し去りましょう。"
"example-choice-b",6165336904531968,"Option 1","オプション 1"
"example-choice-c",6165406626447360,"Option 3","オプション3"
"example-dialogue-k",6165477820563456,"Or in this case all end in the same end choice.","または、この場合はすべてが同じ最終選択で終わります。"
"example-dialogue-l",6165529968345088,"If you want a full list of all the elements you can use, you can open the UVNFStoryElements window in the UVNF tab.","使用できるすべての要素の完全なリストが必要な場合は、UVNF タブで UVNFStoryElements ウィンドウを開くことができます。"
"example-dialogue-m",6165562746830848,"If you're really depraved on info, please DM me on Discord (Velorexe#8403, still thinking about opening a Discord server). You can also DM me if you want custom elements that you think the framework needs.","本当に情報が不足している場合は、Discord で私に DM してください (Velorexe#8403、まだ Discord サーバーを開設しようと検討中です)。フレームワークに必要と思われるカスタム要素が必要な場合も、私に DM してください。"
"example-dialogue-n",6165573962399744,"Anyways, I'm pretty much done explaining right now. So you can see how far you'll get before you miss any UVNF Elements.","とにかく、これで説明はほぼ終わりです。UVNF 要素を見逃す前に、どこまで理解できるかを確認できます。"
